MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','KHTC','Khyber Tobacco Co. Ltd.','READY',246.75,223.25,235
'REG','PAKMI','First Pak Mod.','READY',4.6,2.6,3.6
'REG','HUMNL','Hum Network Limited.','READY',93.3765,84.4835,88.93
'REG','ISL','International Steels Limited.','READY',22.764,20.596,21.68
'REG','UNIC','United Insurance Company.','READY',17.95,15.95,16.95
'REG','JLICL','Jubliee Life Insurance Co Ltd.','READY',192.0345,173.7455,182.89
'REG','HINOON','Highnoon Laboratories Ltd.','READY',152.292,137.788,145.04
'REG','IDRT','Idrees Textile Mills Ltd.','READY',22.68,20.52,21.6
'REG','STCL','Shabbir Tiles & Ceramis.','READY',13.31,11.31,12.31
'REG','MSOT','Masood Textile Mills Ltd.','READY',153.51,138.89,146.2
'REG','REDCO','Redco Textile Ltd.','READY',7.63,5.63,6.63
'REG','SLCL','Security Leasing Corp.','READY',7.22,5.22,6.22
'REG','TGL','Tariq Glass.','READY',41.013,37.107,39.06
'REG','PICT','Pakistan Int.Container Terminal','READY',284.382,257.298,270.84
'REG','BBVA','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVB','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVC','5 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','BBVD','5 Years Bearer Bond of US$100,',170,48.3,43.7,46
'REG','BBVIIA','7 Years Bearer Bond Of US$ 100',170,49.455,44.745,47.1
'REG','BBVIIB','7 Years Bearer Bond Of US$ 100',170,49.455,44.745,47.1
'REG','BBVIIC','7 Years Bearer Bond Of US$ 100',170,54.8625,49.6375,52.25
'REG','BBVIID','7 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','NBP','National Bank Of Pakistan.','READY',61.299,55.461,58.38
'REG','ITSL','Investec Securities Ltd','READY',1.42,.01,.42
'REG','SGMLPS','Shakarganj (R.C.Pref) 8.5%.','READY',8.05,6.05,7.05
'REG','KASBB','KASB Bank Ltd.','READY',3.12,1.12,2.12
'REG','SNGP','Sui Northern Gas Pipe Line Ltd.','READY',22.7115,20.5485,21.63
'REG','SALT','Salfi Textile Mills Ltd.','READY',302.4945,273.6855,288.09
'REG','TRG','TRG Pakistan Ltd.','READY',11.24,9.24,10.24
'REG','SGML','Shakargang Sugar Mills Ltd.','READY',21.3465,19.3135,20.33
'REG','PICL','Pakistan Industrial & Comm.Lea.','READY',1.1,.01,.1
'REG','ACPL','Attock Cement Pak Ltd.',170,148.0395,133.9405,140.99
'REG','BYCO','BYCO Petroleum Pak Ltd.','READY',10.01,8.01,9.01
'REG','DYNO','DYNEA Pak.','READY',55.125,49.875,52.5
'REG','SRVI','Service Industries.','READY',497.133,449.787,473.46
'REG','ZIL','ZIL Limited.','READY',140.7,127.3,134
'REG','WAPDA-B6','Wapda Bond 6th','READY',1,.01,0
'REG','NIB','NIB Bank Limited','READY',3.34,1.34,2.34
'REG','OGDC','Oil & Gas Development Company Ltd.','READY',286.167,258.913,272.54
'REG','MACFL','MACPAC Films Limited.','READY',24.8955,22.5245,23.71
'REG','PRIC','Progressive Insurance Co Ltd.','READY',2.13,.13,1.13
'REG','PIF','PICIC Investment Fund.','READY',13.01,11.01,12.01
'REG','PIOCR','Pioneer Cement Ltd.(R)',170,1,.01,0
'REG','ANLPS','Azgard Nine (Pref)','READY',10.8,8.8,9.8
'REG','PPL','Pakistan Petroleum Limited.','READY',232.1655,210.0545,221.11
'REG','DSL','Dost Steels Ltd.','READY',6.41,4.41,5.41
'REG','TREET','Treet Corporation Ltd.','READY',131.124,118.636,124.88
'REG','OLPL','Orix Leasing Pakistan Ltd.','READY',28.35,25.65,27
'REG','KCORP','KASB Corporation Limited','READY',21.714,19.646,20.68
'REG','TRIBL','Trust Investment Bank Ltd.','READY',2.83,.83,1.83
'REG','AKBL','Askari Bank Limited.','READY',15.04,13.04,14.04
'REG','PGIC','Pakistan Gaurantee InsuranceCo','READY',5.75,3.75,4.75
'REG','IGIBL','IGI Investment Bank Ltd.','READY',2.65,.65,1.65
'REG','JUBS','Jubilee Spinning & Weaving Mil','READY',10.4,8.4,9.4
'REG','KHYT','Khyber Textile Mills Ltd.','READY',73.8675,66.8325,70.35
'REG','KTML','Kohinoor Textile Mills Ltd.','READY',31.0275,28.0725,29.55
'REG','ANL','Azgard Nine Limited','READY',10.84,8.84,9.84
'REG','MEHT','Mehmood Textile Mills Ltd.','READY',215.25,194.75,205
'REG','MFTM','Mohammed Farooq Textile Mills','READY',8.51,6.51,7.51
'REG','SFAT','Safa Textiles Ltd.','READY',15.72,13.72,14.72
'REG','STML','Shams Textile Mills Ltd.','READY',82.95,75.05,79
'REG','USMT','Usman Textile Mills Ltd.','READY',1.51,.01,.51
'REG','PRWM','Prosperity Weaving Mills Ltd.','READY',63.021,57.019,60.02
'REG','SDIL','Saleem Denim Industries Ltd.','READY',1.95,.01,.95
'REG','HABSM','Habib Sugar Mills Ltd.(XD)','READY',35.826,32.414,34.12
'REG','GHNI','Ghandhara Industries Ltd.','READY',25.41,22.99,24.2
'REG','BPL','Burshane LPG (Pakistan) Limited.','READY',46.8615,42.3985,44.63
'REG','MUKT','Mukhtar Textile Mills Limited','READY',1.71,.01,.71
'REG','SURC','Suraj Cotton Mills Ltd.','READY',151.2,136.8,144
'REG','ENGRO','Engro Corporation Limited.','READY',187.173,169.347,178.26
'REG','KOIL','Kohinoor Industries Ltd.','READY',6.51,4.51,5.51
'REG','PTC','Pakistan Telecommunication Co.','READY',30.0615,27.1985,28.63
'REG','BOP','Bank Of Punjab.','READY',13.17,11.17,12.17
'REG','FFC','Fauji Fertilizer Co. Ltd.','READY',119.112,107.768,113.44
'REG','PAKL','Pak Leather Crafts Ltd.','READY',3.89,1.89,2.89
'REG','IDSM','Ideal Spinning Mills Ltd.','READY',23.52,21.28,22.4
'REG','ESBL','Escorts Investment Bank Ltd.','READY',4.42,2.42,3.42
'REG','JGICL','Jubilee General Insurance Co.Ltd.','READY',84.0525,76.0475,80.05
'REG','KML','Kohinoor Mills Ltd.','READY',24.2025,21.8975,23.05
'REG','UPFL','Unilever Pakistan Foods Ltd.','READY',10030.2615,9074.9985,9552.63
'REG','CSILR','Cresent Star Insurance Co. Ltd.(R)','READY',2.04,.04,1.04
'REG','PLICR','Platinium Insurance Co Ltd.(R)',170,1,.01,0
'REG','BBIIIA','3 Years Bearer Bond Of US$ 100',170,48.6675,44.0325,46.35
'REG','BBIIIB','3 Years Bearer Bond Of US$ 100',170,57.225,51.775,54.5
'REG','BBIIIC','3 Years Bearer Bond Of US$ 100',170,48.615,43.985,46.3
'REG','BBIIID','3 Years Bearer Bond Of US$ 100',170,48.3,43.7,46
'REG','SEARL','The Searle Company Ltd.','READY',159.075,143.925,151.5
'REG','GHNL','Ghandhara Nissan Ltd.','READY',23.2575,21.0425,22.15
'REG','CJPL','Crescent Jute Products Ltd.','READY',4.83,2.83,3.83
'REG','FCCL','Fauji Cement Co Ltd.','READY',17.84,15.84,16.84
'REG','PRET','Premium Textile Mills Ltd.','READY',191.268,173.052,182.16
'REG','HBL','Habib Bank Limited.','READY',173.628,157.092,165.36
'REG','APL','Attock Petroleum Limited.',170,558.684,505.476,532.08
'REG','LPL','LALPIR Power Limited.','READY',20.88,18.88,19.88
'REG','DOL','Descon Oxychem Ltd..','READY',7.02,5.02,6.02
'REG','CLCPS','Chenab Limited Preference Shares.','READY',4.81,2.81,3.81
'REG','ICIBL','Invest Capital Investment Bank Ltd.','READY',2.54,.54,1.54
