MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE
 
'REG','HBL','Habib Bank Limited.','READY',175.098,158.422,166.76
'REG','APL','Attock Petroleum Limited.',170,576.534,521.626,549.08
'REG','LPL','LALPIR Power Limited.','READY',20.81,18.81,19.81
'REG','DOL','Descon Oxychem Ltd..','READY',7.34,5.34,6.34
'REG','CLCPS','Chenab Limited Preference Shares.','READY',4.54,2.54,3.54
'REG','ICIBL','Invest Capital Investment Bank Ltd.','READY',2.48,.48,1.48
'REG','SITC','Sitara Chemicals.','READY',296.8035,268.5365,282.67
'REG','LPCL','Lafarge Pakistan Cement Limited.','READY',11.75,9.75,10.75
'REG','PAEL','Pakistan Elektron Ltd.','READY',20.55,18.55,19.55
'REG','BTL','Bleesed Textile Ltd.','READY',279.3,252.7,266
'REG','INKL','International Knitwear Ltd.','READY',16.25,14.25,15.25
'REG','UBLISFO','UBL Islamic Sovereign Fund','READY',105.96,95.8686,100.9143
'REG','ASHT','Ashfaq Textile Mills Ltd.(XB)','READY',18.5,16.5,17.5
'REG','JSIL','JS Investments Limited.','READY',14.61,12.61,13.61
'REG','ZAHTR','Zahidjee Textile Mills Ltd.(R)','READY',11.2,9.2,10.2
'REG','CLOV','Clover Pakistan Limited.','READY',123.1125,111.3875,117.25
'REG','ARM','Allied Rental Modaraba.','READY',52.92,47.88,50.4
'REG','KOHP','Kohinoor Power Co Ltd.','READY',4.3,2.3,3.3
'REG','SCBPL','Standard Chartered Bank (Pak) Ltd.','READY',25.137,22.743,23.94
'REG','RCML','Reliance Cotton Spinning Mills.','READY',131.1135,118.6265,124.87
'REG','KHTC','Khyber Tobacco Co. Ltd.','READY',246.75,223.25,235
'REG','PAKMI','First Pak Mod.','READY',4.89,2.89,3.89
'REG','HUMNL','Hum Network Limited.','READY',95.025,85.975,90.5
'REG','ISL','International Steels Limited.','READY',22.1235,20.0165,21.07
'REG','UNIC','United Insurance Company.','READY',18.95,16.95,17.95
'REG','JLICL','Jubliee Life Insurance Co Ltd.','READY',192.0345,173.7455,182.89
'REG','HINOON','Highnoon Laboratories Ltd.','READY',159.537,144.343,151.94
'REG','IDRT','Idrees Textile Mills Ltd.','READY',23.562,21.318,22.44
'REG','STCL','Shabbir Tiles & Ceramis.','READY',13.03,11.03,12.03
'REG','MSOT','Masood Textile Mills Ltd.','READY',155.1795,140.4005,147.79
'REG','REDCO','Redco Textile Ltd.','READY',7.35,5.35,6.35
'REG','SLCL','Security Leasing Corp.','READY',6.25,4.25,5.25
'REG','TGL','Tariq Glass.','READY',40.299,36.461,38.38
'REG','PICT','Pakistan Int.Container Terminal','READY',291.06,263.34,277.2
'REG','EFERT','Engro Fertilizers Limited.','READY',50.904,46.056,48.48
'REG','ELSM','Ellcot Spinning Mills Ltd.','READY',144.8475,131.0525,137.95
'REG','PKGI','Pakistan General Insurance Co.','READY',14.25,12.25,13.25
